filepath,filename,astride_detected,num_detected,gt_has_streak,detection_acceptable,outcome
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1482-NORAD45773_1.fits,SL1482-NORAD45773_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1482-NORAD45773_2.fits,SL1482-NORAD45773_2.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1513-NORAD45786.fits,SL1513-NORAD45786.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1601-NORAD46120_1.fits,SL1601-NORAD46120_1.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1601-NORAD46120_2.fits,SL1601-NORAD46120_2.fits,,6,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1601-NORAD46120_3.fits,SL1601-NORAD46120_3.fits,,4,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1630NORAD46132_1.fits,SL1630NORAD46132_1.fits,,6,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1630NORAD46132_2.fits,SL1630NORAD46132_2.fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1634NORAD46152.fits,SL1634NORAD46152.fits,,5,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL1930NORAD46789.fits,SL1930NORAD46789.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL2161NORAD47747.fits,SL2161NORAD47747.fits,,3,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL2162NORAD47748.fits,SL2162NORAD47748.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL30892NORAD58366.fits,SL30892NORAD58366.fits,,3,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL5990NORAD56448.fits,SL5990NORAD56448.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0329/SL6051NORAD56463.fits,SL6051NORAD56463.fits,,2,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1073NORAD44914.fits,SL1073NORAD44914.fits,,9,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1103NORAD44921.fits,SL1103NORAD44921.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1365NORAD45590.fits,SL1365NORAD45590.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1374NORAD45545.fits,SL1374NORAD45545.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1375NORAD45546.fits,SL1375NORAD45546.fits,,1,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1563NORAD46078.fits,SL1563NORAD46078.fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
/home/ubuntu/thesis/programs/astride_evaluation/input/0427/SL1917NORAD46767.fits,SL1917NORAD46767.fits,,0,,1,"TP_ACCEPT (detected streak, acceptable)"
